week,skill,listing_count
2024-03-18,customer service,1
2024-03-18,excel,1
2024-03-18,monday,1
2024-04-01,aws,701
2024-04-01,collaboration,517
2024-04-01,communication,1770
2024-04-01,customer service,671
2024-04-01,excel,1797
2024-04-01,git,418
2024-04-01,leadership,899
2024-04-01,microsoft office,332
2024-04-01,monday,290
2024-04-01,presentation,441
2024-04-01,problem solving,530
2024-04-01,project management,318
2024-04-01,rust,428
2024-04-01,sas,297
2024-04-01,scala,320
2024-04-08,aws,1293
2024-04-08,collaboration,937
2024-04-08,communication,3600
2024-04-08,customer service,1288
2024-04-08,excel,3391
2024-04-08,git,821
2024-04-08,leadership,1623
2024-04-08,microsoft office,706
2024-04-08,monday,567
2024-04-08,presentation,863
2024-04-08,problem solving,1046
2024-04-08,project management,652
2024-04-08,rust,797
2024-04-08,sas,533
2024-04-08,scala,576
2024-04-15,aws,4776
2024-04-15,collaboration,3876
2024-04-15,communication,13863
2024-04-15,customer service,4770
2024-04-15,excel,13230
2024-04-15,git,3350
2024-04-15,leadership,6507
2024-04-15,microsoft office,2904
2024-04-15,monday,2099
2024-04-15,presentation,3484
2024-04-15,problem solving,4146
2024-04-15,project management,2592
2024-04-15,rust,3221
2024-04-15,sas,2112
2024-04-15,scala,2274
